Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Marzo,Abril
2015,3,Baja California Sur,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo a transportista,Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0
